study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
SRP229031	SAMN13242624	SRS5624688	SRX7114931	SRR10416780	3880	Medicago truncatula	Illumina HiSeq 3000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/080/SRR10416780/SRR10416780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/080/SRR10416780/SRR10416780_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/080/SRR10416780/SRR10416780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/080/SRR10416780/SRR10416780_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR104/080/SRR10416780	ftp.sra.ebi.ac.uk/vol1/srr/SRR104/080/SRR10416780		
SRP229031	SAMN13242625	SRS5624689	SRX7114928	SRR10416781	3880	Medicago truncatula	Illumina HiSeq 3000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/081/SRR10416781/SRR10416781_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/081/SRR10416781/SRR10416781_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/081/SRR10416781/SRR10416781_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/081/SRR10416781/SRR10416781_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR104/081/SRR10416781	ftp.sra.ebi.ac.uk/vol1/srr/SRR104/081/SRR10416781		
SRP229031	SAMN13242626	SRS5624690	SRX7114929	SRR10416782	3880	Medicago truncatula	Illumina HiSeq 3000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/082/SRR10416782/SRR10416782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/082/SRR10416782/SRR10416782_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/082/SRR10416782/SRR10416782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/082/SRR10416782/SRR10416782_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR104/082/SRR10416782	ftp.sra.ebi.ac.uk/vol1/srr/SRR104/082/SRR10416782		
SRP229031	SAMN13242627	SRS5624691	SRX7114926	SRR10416783	3880	Medicago truncatula	Illumina HiSeq 3000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/083/SRR10416783/SRR10416783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/083/SRR10416783/SRR10416783_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/083/SRR10416783/SRR10416783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/083/SRR10416783/SRR10416783_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR104/083/SRR10416783	ftp.sra.ebi.ac.uk/vol1/srr/SRR104/083/SRR10416783		
SRP229031	SAMN13242628	SRS5624692	SRX7114927	SRR10416784	3880	Medicago truncatula	Illumina HiSeq 3000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/084/SRR10416784/SRR10416784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/084/SRR10416784/SRR10416784_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/084/SRR10416784/SRR10416784_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/084/SRR10416784/SRR10416784_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR104/084/SRR10416784	ftp.sra.ebi.ac.uk/vol1/srr/SRR104/084/SRR10416784		
SRP229031	SAMN13242629	SRS5624693	SRX7114924	SRR10416785	3880	Medicago truncatula	Illumina HiSeq 3000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/085/SRR10416785/SRR10416785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/085/SRR10416785/SRR10416785_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/085/SRR10416785/SRR10416785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/085/SRR10416785/SRR10416785_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR104/085/SRR10416785	ftp.sra.ebi.ac.uk/vol1/srr/SRR104/085/SRR10416785		
SRP229031	SAMN13242630	SRS5624694	SRX7114925	SRR10416786	3880	Medicago truncatula	Illumina HiSeq 3000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/086/SRR10416786/SRR10416786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/086/SRR10416786/SRR10416786_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/086/SRR10416786/SRR10416786_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/086/SRR10416786/SRR10416786_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR104/086/SRR10416786	ftp.sra.ebi.ac.uk/vol1/srr/SRR104/086/SRR10416786		
SRP229031	SAMN13242631	SRS5624695	SRX7114922	SRR10416787	3880	Medicago truncatula	Illumina HiSeq 3000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/087/SRR10416787/SRR10416787_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/087/SRR10416787/SRR10416787_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/087/SRR10416787/SRR10416787_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/087/SRR10416787/SRR10416787_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR104/087/SRR10416787	ftp.sra.ebi.ac.uk/vol1/srr/SRR104/087/SRR10416787		
SRP229031	SAMN13242632	SRS5624696	SRX7114923	SRR10416788	3880	Medicago truncatula	Illumina HiSeq 3000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/088/SRR10416788/SRR10416788_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/088/SRR10416788/SRR10416788_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/088/SRR10416788/SRR10416788_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/088/SRR10416788/SRR10416788_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR104/088/SRR10416788	ftp.sra.ebi.ac.uk/vol1/srr/SRR104/088/SRR10416788		
SRP229031	SAMN13242633	SRS5624697	SRX7114920	SRR10416789	3880	Medicago truncatula	Illumina HiSeq 3000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/089/SRR10416789/SRR10416789_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/089/SRR10416789/SRR10416789_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/089/SRR10416789/SRR10416789_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/089/SRR10416789/SRR10416789_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR104/089/SRR10416789	ftp.sra.ebi.ac.uk/vol1/srr/SRR104/089/SRR10416789		
SRP229031	SAMN13242634	SRS5624698	SRX7114921	SRR10416790	3880	Medicago truncatula	Illumina HiSeq 3000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/090/SRR10416790/SRR10416790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/090/SRR10416790/SRR10416790_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/090/SRR10416790/SRR10416790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/090/SRR10416790/SRR10416790_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR104/090/SRR10416790	ftp.sra.ebi.ac.uk/vol1/srr/SRR104/090/SRR10416790		
SRP229031	SAMN13242635	SRS5624699	SRX7114918	SRR10416791	3880	Medicago truncatula	Illumina HiSeq 3000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/091/SRR10416791/SRR10416791_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/091/SRR10416791/SRR10416791_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/091/SRR10416791/SRR10416791_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/091/SRR10416791/SRR10416791_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR104/091/SRR10416791	ftp.sra.ebi.ac.uk/vol1/srr/SRR104/091/SRR10416791		
SRP229031	SAMN13242636	SRS5624700	SRX7114919	SRR10416792	3880	Medicago truncatula	Illumina HiSeq 3000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/092/SRR10416792/SRR10416792_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/092/SRR10416792/SRR10416792_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/092/SRR10416792/SRR10416792_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/092/SRR10416792/SRR10416792_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR104/092/SRR10416792	ftp.sra.ebi.ac.uk/vol1/srr/SRR104/092/SRR10416792		
SRP229031	SAMN13242637	SRS5624701	SRX7114916	SRR10416793	3880	Medicago truncatula	Illumina HiSeq 3000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/093/SRR10416793/SRR10416793_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/093/SRR10416793/SRR10416793_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/093/SRR10416793/SRR10416793_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/093/SRR10416793/SRR10416793_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR104/093/SRR10416793	ftp.sra.ebi.ac.uk/vol1/srr/SRR104/093/SRR10416793		
SRP229031	SAMN13242638	SRS5624702	SRX7114917	SRR10416794	3880	Medicago truncatula	Illumina HiSeq 3000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/094/SRR10416794/SRR10416794_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/094/SRR10416794/SRR10416794_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/094/SRR10416794/SRR10416794_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/094/SRR10416794/SRR10416794_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR104/094/SRR10416794	ftp.sra.ebi.ac.uk/vol1/srr/SRR104/094/SRR10416794		
PRJNA590945	SAMN13343078	SRS5701284	SRX7195533	SRR10506571	3880	Medicago truncatula	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/071/SRR10506571/SRR10506571.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/071/SRR10506571/SRR10506571.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR105/071/SRR10506571	ftp.sra.ebi.ac.uk/vol1/srr/SRR105/071/SRR10506571		
PRJNA590945	SAMN13343078	SRS5701284	SRX7195532	SRR10506572	3880	Medicago truncatula	Illumina HiSeq 2500	SINGLE								
PRJNA590945	SAMN13343078	SRS5701284	SRX7195531	SRR10506573	3880	Medicago truncatula	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/073/SRR10506573/SRR10506573.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/073/SRR10506573/SRR10506573.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR105/073/SRR10506573	ftp.sra.ebi.ac.uk/vol1/srr/SRR105/073/SRR10506573		
PRJNA590945	SAMN13343078	SRS5701284	SRX7195530	SRR10506574	3880	Medicago truncatula	Illumina HiSeq 2500	SINGLE								
PRJNA590945	SAMN13343078	SRS5701284	SRX7195529	SRR10506575	3880	Medicago truncatula	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/075/SRR10506575/SRR10506575.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/075/SRR10506575/SRR10506575.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR105/075/SRR10506575	ftp.sra.ebi.ac.uk/vol1/srr/SRR105/075/SRR10506575		
PRJNA590945	SAMN13343078	SRS5701284	SRX7195528	SRR10506576	3880	Medicago truncatula	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/076/SRR10506576/SRR10506576.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/076/SRR10506576/SRR10506576.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR105/076/SRR10506576	ftp.sra.ebi.ac.uk/vol1/srr/SRR105/076/SRR10506576		
PRJNA590945	SAMN13343078	SRS5701284	SRX7195527	SRR10506577	3880	Medicago truncatula	Illumina HiSeq 2500	SINGLE								
PRJNA590945	SAMN13343078	SRS5701284	SRX7195526	SRR10506578	3880	Medicago truncatula	Illumina HiSeq 2500	SINGLE								
PRJNA590945	SAMN13343078	SRS5701284	SRX7195525	SRR10506579	3880	Medicago truncatula	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/079/SRR10506579/SRR10506579.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/079/SRR10506579/SRR10506579.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR105/079/SRR10506579	ftp.sra.ebi.ac.uk/vol1/srr/SRR105/079/SRR10506579		
PRJNA590945	SAMN13343078	SRS5701284	SRX7195524	SRR10506580	3880	Medicago truncatula	Illumina HiSeq 2500	SINGLE								
PRJNA590945	SAMN13343078	SRS5701284	SRX7195523	SRR10506581	3880	Medicago truncatula	Illumina HiSeq 2500	SINGLE								
PRJNA590945	SAMN13343078	SRS5701284	SRX7195522	SRR10506582	3880	Medicago truncatula	Illumina HiSeq 2500	SINGLE								
PRJNA590945	SAMN13343078	SRS5701284	SRX7195521	SRR10506583	3880	Medicago truncatula	Illumina HiSeq 2500	SINGLE								
PRJNA590945	SAMN13343078	SRS5701284	SRX7195520	SRR10506584	3880	Medicago truncatula	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/084/SRR10506584/SRR10506584.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/084/SRR10506584/SRR10506584.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR105/084/SRR10506584	ftp.sra.ebi.ac.uk/vol1/srr/SRR105/084/SRR10506584		
PRJNA590945	SAMN13343078	SRS5701284	SRX7195519	SRR10506585	3880	Medicago truncatula	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/085/SRR10506585/SRR10506585.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/085/SRR10506585/SRR10506585.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR105/085/SRR10506585	ftp.sra.ebi.ac.uk/vol1/srr/SRR105/085/SRR10506585		
PRJNA590945	SAMN13343078	SRS5701284	SRX7195518	SRR10506586	3880	Medicago truncatula	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/086/SRR10506586/SRR10506586.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/086/SRR10506586/SRR10506586.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR105/086/SRR10506586	ftp.sra.ebi.ac.uk/vol1/srr/SRR105/086/SRR10506586		
PRJNA590945	SAMN13343078	SRS5701284	SRX7195517	SRR10506587	3880	Medicago truncatula	Illumina HiSeq 2500	SINGLE								
PRJNA590945	SAMN13343078	SRS5701284	SRX7195516	SRR10506588	3880	Medicago truncatula	Illumina HiSeq 2500	SINGLE								
PRJNA590945	SAMN13343078	SRS5701284	SRX7195515	SRR10506589	3880	Medicago truncatula	Illumina HiSeq 2500	SINGLE								
PRJNA590945	SAMN13343078	SRS5701284	SRX7195514	SRR10506590	3880	Medicago truncatula	Illumina HiSeq 2500	SINGLE								
PRJNA590945	SAMN13343078	SRS5701284	SRX7195513	SRR10506591	3880	Medicago truncatula	Illumina HiSeq 2500	SINGLE								
PRJNA590945	SAMN13343078	SRS5701284	SRX7195512	SRR10506592	3880	Medicago truncatula	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/092/SRR10506592/SRR10506592.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/092/SRR10506592/SRR10506592.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR105/092/SRR10506592	ftp.sra.ebi.ac.uk/vol1/srr/SRR105/092/SRR10506592		
PRJNA590945	SAMN13343078	SRS5701284	SRX7195511	SRR10506593	3880	Medicago truncatula	Illumina HiSeq 2500	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/093/SRR10506593/SRR10506593.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR105/093/SRR10506593/SRR10506593.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR105/093/SRR10506593	ftp.sra.ebi.ac.uk/vol1/srr/SRR105/093/SRR10506593		
PRJNA590945	SAMN13343078	SRS5701284	SRX7195510	SRR10506594	3880	Medicago truncatula	Illumina HiSeq 2500	SINGLE								
PRJNA599246	SAMN13741857	SRS5957087	SRX7517457	SRR10846835	3880	Medicago truncatula	Illumina HiSeq 4000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/035/SRR10846835/SRR10846835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/035/SRR10846835/SRR10846835_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/035/SRR10846835/SRR10846835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/035/SRR10846835/SRR10846835_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR108/035/SRR10846835	ftp.sra.ebi.ac.uk/vol1/srr/SRR108/035/SRR10846835		
PRJNA599246	SAMN13741856	SRS5957086	SRX7517456	SRR10846836	3880	Medicago truncatula	Illumina HiSeq 4000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/036/SRR10846836/SRR10846836_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/036/SRR10846836/SRR10846836_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/036/SRR10846836/SRR10846836_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/036/SRR10846836/SRR10846836_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR108/036/SRR10846836	ftp.sra.ebi.ac.uk/vol1/srr/SRR108/036/SRR10846836		
PRJNA599246	SAMN13741855	SRS5957088	SRX7517455	SRR10846837	3880	Medicago truncatula	Illumina HiSeq 4000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/037/SRR10846837/SRR10846837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/037/SRR10846837/SRR10846837_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/037/SRR10846837/SRR10846837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/037/SRR10846837/SRR10846837_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR108/037/SRR10846837	ftp.sra.ebi.ac.uk/vol1/srr/SRR108/037/SRR10846837		
PRJNA599246	SAMN13741854	SRS5957085	SRX7517454	SRR10846838	3880	Medicago truncatula	Illumina HiSeq 4000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/038/SRR10846838/SRR10846838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/038/SRR10846838/SRR10846838_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/038/SRR10846838/SRR10846838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/038/SRR10846838/SRR10846838_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR108/038/SRR10846838	ftp.sra.ebi.ac.uk/vol1/srr/SRR108/038/SRR10846838		
PRJNA599246	SAMN13741853	SRS5957084	SRX7517453	SRR10846839	3880	Medicago truncatula	Illumina HiSeq 4000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/039/SRR10846839/SRR10846839_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/039/SRR10846839/SRR10846839_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/039/SRR10846839/SRR10846839_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/039/SRR10846839/SRR10846839_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR108/039/SRR10846839	ftp.sra.ebi.ac.uk/vol1/srr/SRR108/039/SRR10846839		
PRJNA599246	SAMN13741852	SRS5957083	SRX7517452	SRR10846840	3880	Medicago truncatula	Illumina HiSeq 4000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/040/SRR10846840/SRR10846840_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/040/SRR10846840/SRR10846840_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/040/SRR10846840/SRR10846840_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/040/SRR10846840/SRR10846840_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR108/040/SRR10846840	ftp.sra.ebi.ac.uk/vol1/srr/SRR108/040/SRR10846840		
PRJNA634620	SAMN15002662	SRS6699482	SRX8385651	SRR11835225	3880	Medicago truncatula	Illumina HiSeq 4000	PAIRED								
PRJNA634620	SAMN15002661	SRS6699481	SRX8385650	SRR11835226	3880	Medicago truncatula	Illumina HiSeq 4000	PAIRED								
PRJNA634620	SAMN15002660	SRS6699480	SRX8385649	SRR11835227	3880	Medicago truncatula	Illumina HiSeq 4000	PAIRED								
PRJNA634620	SAMN15002659	SRS6699479	SRX8385648	SRR11835228	3880	Medicago truncatula	Illumina HiSeq 4000	PAIRED								
PRJNA634620	SAMN15002658	SRS6699478	SRX8385647	SRR11835229	3880	Medicago truncatula	Illumina HiSeq 4000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/029/SRR11835229/SRR11835229_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/029/SRR11835229/SRR11835229_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/029/SRR11835229/SRR11835229_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/029/SRR11835229/SRR11835229_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR118/029/SRR11835229	ftp.sra.ebi.ac.uk/vol1/srr/SRR118/029/SRR11835229		
PRJNA634620	SAMN15002657	SRS6699477	SRX8385646	SRR11835230	3880	Medicago truncatula	Illumina HiSeq 4000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/030/SRR11835230/SRR11835230_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/030/SRR11835230/SRR11835230_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/030/SRR11835230/SRR11835230_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/030/SRR11835230/SRR11835230_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR118/030/SRR11835230	ftp.sra.ebi.ac.uk/vol1/srr/SRR118/030/SRR11835230		
PRJNA634620	SAMN15002656	SRS6699476	SRX8385645	SRR11835231	3880	Medicago truncatula	Illumina HiSeq 4000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/031/SRR11835231/SRR11835231_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/031/SRR11835231/SRR11835231_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/031/SRR11835231/SRR11835231_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/031/SRR11835231/SRR11835231_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR118/031/SRR11835231	ftp.sra.ebi.ac.uk/vol1/srr/SRR118/031/SRR11835231		
PRJNA634620	SAMN15002655	SRS6699475	SRX8385644	SRR11835232	3880	Medicago truncatula	Illumina HiSeq 4000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/032/SRR11835232/SRR11835232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/032/SRR11835232/SRR11835232_2.fastq.gz;	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/032/SRR11835232/SRR11835232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/032/SRR11835232/SRR11835232_2.fastq.gz;			ftp.sra.ebi.ac.uk/vol1/srr/SRR118/032/SRR11835232	ftp.sra.ebi.ac.uk/vol1/srr/SRR118/032/SRR11835232		
PRJNA634620	SAMN15002665	SRS6699474	SRX8385643	SRR11835233	3880	Medicago truncatula	Illumina HiSeq 4000	PAIRED								
PRJNA634620	SAMN15002664	SRS6699473	SRX8385642	SRR11835234	3880	Medicago truncatula	Illumina HiSeq 4000	PAIRED								
PRJNA634620	SAMN15002663	SRS6699472	SRX8385641	SRR11835235	3880	Medicago truncatula	Illumina HiSeq 4000	PAIRED								
PRJNA634620	SAMN15002654	SRS6699471	SRX8385640	SRR11835236	3880	Medicago truncatula	Illumina HiSeq 4000	PAIRED								
PRJNA634620	SAMN15002653	SRS6699470	SRX8385639	SRR11835237	3880	Medicago truncatula	Illumina HiSeq 4000	PAIRED								
PRJNA252090	SAMN02849411	SRS640045	SRX589498	SRR1377055	3880	Medicago truncatula	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/005/SRR1377055/SRR1377055.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/005/SRR1377055/SRR1377055.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR137/005/SRR1377055	ftp.sra.ebi.ac.uk/vol1/srr/SRR137/005/SRR1377055		
PRJNA252090	SAMN02849411	SRS640045	SRX589499	SRR1377056	3880	Medicago truncatula	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/006/SRR1377056/SRR1377056.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR137/006/SRR1377056/SRR1377056.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR137/006/SRR1377056	ftp.sra.ebi.ac.uk/vol1/srr/SRR137/006/SRR1377056		
